cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
648,27,0.8104708487459473,0.6278311744857656,4.1834908418675765,0.0,1.5,0.05,0.5,0.7789847026502295,0.6025508777599402,4.160607546673068,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02619791634423689,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03053948314563331
672,28,0.8419569948416652,0.6540290908300025,4.206374137062085,0.0,1.5,0.05,0.5,0.8104708487459473,0.6278311744857656,4.1834908418675765,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.02697985336484335,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03070653120055322
696,29,0.8734431409373831,0.6810089441948458,4.229257432256593,0.0,1.5,0.05,0.5,0.8419569948416652,0.6540290908300025,4.206374137062085,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02764617031352996,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03087357925547313
720,30,0.9049292870331009,0.7086551145083758,4.252140727451101,0.0,1.5,0.05,0.5,0.8734431409373831,0.6810089441948458,4.229257432256593,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02821396319762015,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03104062731039304
744,31,0.9364154331288188,0.736869077705996,4.275024022645609,0.0,1.5,0.05,0.5,0.9049292870331009,0.7086551145083758,4.252140727451101,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02869780014617582,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03120767536531295
768,32,0.9679015792245367,0.7655668778521718,4.297907317840117,0.0,1.5,0.05,0.5,0.9364154331288188,0.736869077705996,4.275024022645609,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02911009519133613,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03137472342023286
792,33,0.9993877253202545,0.7946769730435079,4.320790613034625,0.0,1.5,0.05,0.5,0.9679015792245367,0.7655668778521718,4.297907317840117,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.02946142678097843,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03154177147515277
816,34,1.0308738714159724,0.8241383998244863,4.343673908229134,0.0,1.5,0.05,0.5,0.9993877253202545,0.7946769730435079,4.320790613034625,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02976080919493053,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03170881953007267
840,35,1.0623600175116903,0.8538992090194168,4.366557203423642,0.0,1.5,0.05,0.5,1.0308738714159724,0.8241383998244863,4.343673908229134,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.03001592382858771,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03187586758499258
864,36,1.0938461636074082,0.8839151328480046,4.38944049861815,0.0,1.5,0.05,0.5,1.0623600175116903,0.8538992090194168,4.366557203423642,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.03023331627808691,-0.02288329519450803,0.0,0.0,0.0,0.0,0.0320429156399125
888,37,1.125332309703126,0.9141484491260915,4.412323793812658,0.0,1.5,0.05,0.5,1.0938461636074082,0.8839151328480046,4.38944049861815,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.0304185642837453,-0.02288329519450803,0.0,0.0,0.0,0.0,0.0322099636948324
912,38,1.156818455798844,0.9445670134098368,4.435207089007166,0.0,1.5,0.05,0.5,1.125332309703126,0.9141484491260915,4.412323793812658,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.03057642084076681,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03237701174975231
