cycle,i,LVSNi,tab,TEMFAC,FCO2D,RCLFAi
336,7,0.8804837413612363,0.00315,21.92,24.24319628876561,1.4738806673194185
336,8,0.18845613302538664,0.0032,21.92,24.24319628876561,0.3204724359124969
336,9,0.03165217817698997,0.0032,21.92,24.24319628876561,0.05382499619128827
336,10,0.00404298744503542,0.0032,21.92,24.24319628876561,0.00687515982671473
336,11,0.00037010188181701,0.0032,21.92,24.24319628876561,0.00062936371291094
336,12,0.00002160757118231,0.0032,21.92,24.24319628876561,0.00003674399373362
336,13,0.00000060248841146,0.0032,21.92,24.24319628876561,0.00000102454043671
336,14,0.0,0.0032,21.92,24.24319628876561,0.0
336,15,0.0,0.0032,21.92,24.24319628876561,0.0
336,16,0.0,0.0032,21.92,24.24319628876561,0.0
336,17,0.0,0.0032,21.92,24.24319628876561,0.0
336,18,0.0,0.0032,21.92,24.24319628876561,0.0
336,19,0.0,0.0016,21.92,24.24319628876561,0.0
360,0,7.1823209082570685,-0.0002,21.92,24.24319628876553,-0.7633526699368317
360,1,24.659772652921056,0.00025,21.92,24.24319628876553,3.2761177645588138
360,2,39.04853982091922,0.0007,21.92,24.24319628876553,14.525572762013196
360,3,38.0183022174419,0.00115,21.92,24.24319628876553,23.233839594526746
360,4,25.63783943489132,0.0016,21.92,24.24319628876553,21.79876219291381
360,5,12.802413460815618,0.00235,21.92,24.24319628876553,15.987852715845092
360,6,4.939171625451534,0.0031,21.92,24.24319628876553,8.136661308194594
360,7,1.511435999344513,0.00315,21.92,24.24319628876553,2.530059550992352
360,8,0.37130674299668104,0.0032,21.92,24.24319628876553,0.6314125971313016
360,9,0.07308361594706503,0.0032,21.92,24.24319628876553,0.1242797676671749
360,10,0.01133801051252794,0.0032,21.92,24.24319628876553,0.01928045423102175
360,11,0.00134056802724183,0.0032,21.92,24.24319628876553,0.00227965571775117
360,12,0.00011368828660971,0.0032,21.92,24.24319628876553,0.00019332860947341
360,13,0.00000615254472552,0.0032,21.92,24.24319628876553,0.00001046249312025
360,14,0.00000015919216547,0.0032,21.92,24.24319628876553,0.00000027070862713
360,15,0.0,0.0032,21.92,24.24319628876553,0.0
360,16,0.0,0.0032,21.92,24.24319628876553,0.0
360,17,0.0,0.0032,21.92,24.24319628876553,0.0
360,18,0.0,0.0032,21.92,24.24319628876553,0.0
360,19,0.0,0.0016,21.92,24.24319628876553,0.0
384,0,5.284576160452044,-0.0002,21.92,24.243196288765454,-0.5616562352328133
384,1,20.04180268501665,0.00025,21.92,24.243196288765454,2.6626079134751364
384,2,35.2466758176459,0.0007,21.92,24.243196288765454,13.111326481253625
384,3,38.29051617529858,0.00115,21.92,24.243196288765454,23.40019566682207
384,4,28.909060328751437,0.0016,21.92,24.243196288765454,24.580141900312228
384,5,16.193846750948346,0.00235,21.92,24.243196288765454,20.223127268116958
384,6,7.016832326598502,0.0031,21.92,24.243196288765454,11.559344851213478
384,7,2.4171275389656146,0.00315,21.92,24.243196288765454,4.046136666440896
384,8,0.672556761721576,0.0032,21.92,24.243196288765454,1.143692700567608
384,9,0.1518814558478465,0.0032,21.92,24.243196288765454,0.2582766575123275
384,10,0.0276527087713186,0.0032,21.92,24.243196288765454,0.04702383943285894
384,11,0.00398213670827099,0.0032,21.92,24.243196288765454,0.00677168225066073
384,12,0.00043785990380209,0.0032,21.92,24.243196288765454,0.00074458722943744
384,13,0.00003456611632352,0.0032,21.92,24.243196288765454,0.00005878019102058
384,14,0.00000174278241271,0.0032,21.92,24.243196288765454,0.00000296362721711
384,15,0.00000004206246139,0.0032,21.92,24.243196288765454,0.00000007152783646
384,16,0.0,0.0032,21.92,24.243196288765454,0.0
384,17,0.0,0.0032,21.92,24.243196288765454,0.0
384,18,0.0,0.0032,21.92,24.243196288765454,0.0
384,19,0.0,0.0016,21.92,24.243196288765454,0.0
408,0,3.888261963287084,-0.0002,21.92,24.243196288765393,-0.4132529288237104
408,1,16.142582713157324,0.00025,21.92,24.243196288765393,2.1445859512484176
408,2,31.229176669710007,0.0007,21.92,24.243196288765393,11.616866599724155
408,3,37.48625914949807,0.00115,21.92,24.243196288765393,22.90869610896834
408,4,31.387870282714132,0.0016,21.92,24.243196288765393,26.687768357880284
408,5,19.55351698752686,0.00235,21.92,24.243196288765393,24.41873562591817
408,6,9.441623859472378,0.0031,21.92,24.243196288765393,15.553882587927333
408,7,3.632481978550886,0.00315,21.92,24.243196288765393,6.080572202611258
408,8,1.1335150051712408,0.0032,21.92,24.243196288765393,1.9275589975183063
408,9,0.28945659899126375,0.0032,21.92,24.243196288765393,0.4922252191027411
408,10,0.0604769803831654,0.0032,21.92,24.243196288765393,0.10284199781078138
408,11,0.01023648044826408,0.0032,21.92,24.243196288765393,0.0174072860976294
408,12,0.00137434447146652,0.0032,21.92,24.243196288765393,0.00233709305971174
408,13,0.00014112619304563,0.0032,21.92,24.243196288765393,0.00023998717436433
408,14,0.00001041550956201,0.0032,21.92,24.243196288765393,0.00001771172774811
408,15,0.00000049143424475,0.0032,21.92,24.243196288765393,0.000000835691187
408,16,0.00000001111393047,0.0032,21.92,24.243196288765393,0.00000001889940281
408,17,0.0,0.0032,21.92,24.243196288765393,0.0
408,18,0.0,0.0032,21.92,24.243196288765393,0.0
408,19,0.0,0.0016,21.92,24.243196288765393,0.0
432,0,2.8608881083682425,-0.0002,21.92,24.243196288765315,-0.30406140352246785
432,1,12.904691627733747,0.00025,21.92,24.243196288765315,1.714423327530703
432,2,27.242929771297103,0.0007,21.92,24.243196288765315,10.134032167609814
432,3,35.832985010882076,0.00115,21.92,24.243196288765315,21.89834309734008
432,4,32.9992136896847,0.0016,21.92,24.243196288765315,28.057824981757307
432,5,22.68044240578358,0.00235,21.92,24.243196288765315,28.32368864071749
432,6,12.113433197940218,0.0031,21.92,24.243196288765315,19.95535095463881
432,7,5.167399261534165,0.00315,21.92,24.243196288765315,8.649938112566556
432,8,1.7938031640199936,0.0032,21.92,24.243196288765315,3.0503887578102087
432,9,0.5124774619775634,0.0032,21.92,24.243196288765315,0.8714754885057412
432,10,0.12097899277277116,0.0032,21.92,24.243196288765315,0.2057265629179983
432,11,0.0235112486044806,0.0032,21.92,24.243196288765315,0.03998122528921418
432,12,0.00371593742164193,0.0032,21.92,24.243196288765315,0.00631900643451895
432,13,0.00046697260686034,0.0032,21.92,24.243196288765315,0.00079409381070544
432,14,0.00004495246721637,0.0032,21.92,24.243196288765315,0.0000764423340214
432,15,0.00000311361752661,0.0032,21.92,24.243196288765315,0.00000529475256248
432,16,0.0000001380262984,0.0032,21.92,24.243196288765315,0.00000023471575776
432,17,0.0000000029365721,0.0032,21.92,24.243196288765315,0.0000000049936842
432,18,0.0,0.0032,21.92,24.243196288765315,0.0
432,19,0.0,0.0016,21.92,24.243196288765315,0.0
456,0,2.104971538935765,-0.0002,21.92,24.24319628876525,-0.2237209482717988
456,1,10.250873228256667,0.00025,21.92,24.24319628876525,1.3618563462852356
456,2,23.454416771405572,0.0007,21.92,24.24319628876525,8.724752294607322
456,3,33.563282442190726,0.00115,21.92,24.24319628876525,20.511276807355443
456,4,33.74796534114862,0.0016,21.92,24.24319628876525,28.694456599381
456,5,25.406914009933644,0.00235,21.92,24.24319628876525,31.728548714523182
456,6,14.905495329497127,0.0031,21.92,24.24319628876525,24.554920606935926
456,7,7.002711215644463,0.00315,21.92,24.24319628876525,11.722147945176673
456,8,2.6851897168060006,0.0032,21.92,24.24319628876525,4.566204748115433
456,9,0.8510350330458096,0.0032,21.92,24.24319628876525,1.4471976353792606
456,10,0.2244224580834529,0.0032,21.92,24.24319628876525,0.381633702553925
456,11,0.04926460910487346,0.0032,21.92,24.24319628876525,0.08377519495207285
456,12,0.00894634251062064,0.0032,21.92,24.24319628876525,0.01521338749161249
456,13,0.00132542852827463,0.0032,21.92,24.24319628876525,0.00225391077629117
456,14,0.00015646050392554,0.0032,21.92,24.24319628876525,0.00026606339635738
456,15,0.00001416846431902,0.0032,21.92,24.24319628876525,0.00002409368270781
456,16,0.00000092425023593,0.0032,21.92,24.24319628876525,0.00000157170116857
456,17,0.00000003863057991,0.0032,21.92,24.24319628876525,0.00000006569187134
456,18,0.00000000077591413,0.0032,21.92,24.24319628876525,0.00000000131945343
456,19,0.0,0.0016,21.92,24.24319628876525,0.0
480,0,1.5487866046912533,-0.0002,21.92,24.24319628876519,-0.1646084051318661
480,1,8.098526884387047,0.00025,21.92,24.24319628876519,1.0759112894560434
480,2,19.965717821297197,0.0007,21.92,24.24319628876519,7.426999531585684
480,3,30.892273031936302,0.00115,21.92,24.24319628876519,18.878962880279207
480,4,33.69916760487489,0.0016,21.92,24.24319628876519,28.652965963975202
480,5,27.610823659408688,0.00235,21.92,24.24319628876519,34.48082530539267
480,6,17.68022684042529,0.0031,21.92,24.24319628876519,29.12594025105144
480,7,9.090819953335322,0.00315,21.92,24.24319628876519,15.217525491825285
480,8,3.8259844338335958,0.0032,21.92,24.24319628876519,6.506143003097478
480,9,1.3356635343764827,0.0032,21.92,24.24319628876519,2.271315555240953
480,10,0.38998881723937745,0.0032,21.92,24.24319628876519,0.6631817401373653
480,11,0.09554559434477045,0.0032,21.92,24.24319628876519,0.16247669348203495
480,12,0.0195994140802255,0.0032,21.92,24.24319628876519,0.03332909294016626
