cycle,int(cycle / 24),length(leaf_proportion),sum(leaf_proportion),leaf_proportion,,,,,,,,,
225,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
226,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
227,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
228,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
229,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
230,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
231,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
232,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
233,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
234,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
235,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
236,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
237,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
238,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
239,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
240,10,10,0.113419764,0.094843392,0.016998943,0.001494902,7.96481E-05,2.80938E-06,6.82434E-08,1.15399E-09,1.34011E-11,1.0223E-13,4.6E-16
241,10,10,0.113419764,0.094843392,0.016998943,0.001494902,7.96481E-05,2.80938E-06,6.82434E-08,1.15399E-09,1.34011E-11,1.0223E-13,4.6E-16
242,10,10,0.113419764,0.094843392,0.016998943,0.001494902,7.96481E-05,2.80938E-06,6.82434E-08,1.15399E-09,1.34011E-11,1.0223E-13,4.6E-16
243,10,10,0.113419764,0.094843392,0.016998943,0.001494902,7.96481E-05,2.80938E-06,6.82434E-08,1.15399E-09,1.34011E-11,1.0223E-13,4.6E-16
244,10,10,0.113419764,0.094843392,0.016998943,0.001494902,7.96481E-05,2.80938E-06,6.82434E-08,1.15399E-09,1.34011E-11,1.0223E-13,4.6E-16
245,10,10,0.113419764,0.094843392,0.016998943,0.001494902,7.96481E-05,2.80938E-06,6.82434E-08,1.15399E-09,1.34011E-11,1.0223E-13,4.6E-16
